HS@CB2021,CB2021,HS2021,282.0,138.0,Highlands Swim at Chesterbrook (2021),2021,2021-06-19,McLean,1,Meters
O@DT2021,DT2021,O2021,114.0,306.0,Overlee at Dowden Terrace (2021),2021,2021-06-19,Northern Virginia,1,Meters
DR@T2021,T2021,DR2021,250.0,170.0,Donaldson Run at Tuckahoe (2021),2021,2021-06-19,McLean,1,Meters
CB@DR2021,DR2021,CB2021,208.0,212.0,Chesterbrook at Donaldson Run (2021),2021,2021-06-26,Arlington,1,Meters
HS@O2021,O2021,HS2021,245.0,175.0,Highlands Swim at Overlee (2021),2021,2021-06-26,Arlington,1,Meters
T@DT2021,DT2021,T2021,142.0,277.0,Tuckahoe at Dowden Terrace (2021),2021,2021-06-26,Northern Virginia,1,Meters
CB@T2021,T2021,CB2021,223.5,196.5,Chesterbrook at Tuckahoe (2021),2021,2021-07-03,McLean,1,Meters
DR@O2021,O2021,DR2021,236.0,184.0,Donaldson Run at Overlee (2021),2021,2021-07-03,Arlington,1,Meters
DT@HS2021,HS2021,DT2021,243.0,176.0,Dowden Terrace at Highlands Swim (2021),2021,2021-07-03,McLean,1,Meters
CB@DT2021,DT2021,CB2021,157.0,262.0,Chesterbrook at Dowden Terrace (2021),2021,2021-07-10,Alexandria,1,Meters
T@O2021,O2021,T2021,206.0,214.0,Tuckahoe at Overlee (2021),2021,2021-07-10,Arlington,1,Meters
O@CB2021,CB2021,O2021,239.0,181.0,Overlee at Chesterbrook (2021),2021,2021-07-17,McLean,1,Meters
HS@T2021,T2021,HS2021,240.0,180.0,Highlands Swim at Tuckahoe (2021),2021,2021-07-17,McLean,1,Meters
DT@DR2021,DR2021,DT2021,292.0,128.0,Dowden Terrace at Donaldson Run (2021),2021,2021-07-17,Arlington,1,Meters
ML@L2021,L2021,ML2021,229.0,191.0,McLean at Langley (2021),2021,2021-06-19,Mclean,2,Meters
CP@WC2021,WC2021,CP2021,162.0,256.0,Crosspointe at Wakefield Chapel (2021),2021,2021-06-19,Northern Virginia,2,Meters
HSC@MVP2021,MVP2021,HSC2021,181.0,239.0,Hamlet at Mount Vernon Park (2021),2021,2021-06-19,Northern Virginia,2,Meters
MVP@ML2021,ML2021,MVP2021,280.0,140.0,Mount Vernon Park at McLean (2021),2021,2021-06-26,Northern Virginia,2,Meters
WC@L2021,L2021,WC2021,260.0,160.0,Wakefield Chapel at Langley (2021),2021,2021-06-26,Mclean,2,Meters
HSC@CP2021,CP2021,HSC2021,229.0,191.0,Hamlet at Crosspointe (2021),2021,2021-06-26,Fairfax Station,2,Meters
ML@HSC2021,HSC2021,ML2021,205.0,214.0,McLean at Hamlet (2021),2021,2021-07-03,McLean,2,Meters
MVP@WC2021,WC2021,MVP2021,244.0,176.0,Mount Vernon Park at Wakefield Chapel (2021),2021,2021-07-03,Northern Virginia,2,Meters
CP@L2021,L2021,CP2021,215.0,205.0,Crosspointe at Langley (2021),2021,2021-07-03,McLean,2,Meters
ML@CP2021,CP2021,ML2021,227.0,193.0,McLean at Crosspointe (2021),2021,2021-07-10,Fairfax Station,2,Meters
HSC@WC2021,WC2021,HSC2021,193.0,227.0,Hamlet at Wakefield Chapel (2021),2021,2021-07-10,Northern Virginia,2,Meters
L@MVP2021,MVP2021,L2021,135.0,285.0,Langley at Mount Vernon Park (2021),2021,2021-07-10,Alexandria,2,Meters
WC@ML2021,ML2021,WC2021,244.0,176.0,Wakefield Chapel at McLean (2021),2021,2021-07-17,McLean,2,Meters
L@HSC2021,HSC2021,L2021,195.0,225.0,Langley at Hamlet (2021),2021,2021-07-17,McLean,2,Meters
MVP@CP2021,CP2021,MVP2021,289.0,131.0,Mount Vernon Park at Crosspointe (2021),2021,2021-07-17,Fairfax Station,2,Meters
HV@VW2021,VW2021,HV2021,210.0,210.0,Hunt Valley at Vienna Woods (2021),2021,2021-06-19,Vienna,3,Meters
LRR@FO2021,FO2021,LRR2021,227.5,192.5,Little Rocky Run at Fair Oaks (2021),2021,2021-06-19,Fairfax,3,Meters
VR@HPP2021,HPP2021,VR2021,244.0,176.0,Virginia Run at High Point Pool (2021),2021,2021-06-19,Northern Virginia,3,Meters
VR@HV2021,HV2021,VR2021,239.0,181.0,Virginia Run at Hunt Valley (2021),2021,2021-06-26,Springfield,3,Meters
VW@LRR2021,LRR2021,VW2021,218.0,202.0,Vienna Woods at Little Rocky Run (2021),2021,2021-06-26,Northern Virginia,3,Meters
HPP@FO2021,FO2021,HPP2021,248.0,172.0,High Point Pool at Fair Oaks (2021),2021,2021-06-26,Fairfax,3,Meters
HPP@HV2021,HV2021,HPP2021,203.0,217.0,High Point Pool at Hunt Valley (2021),2021,2021-07-03,Springfield,3,Meters
FO@VW2021,VW2021,FO2021,172.0,248.0,Fair Oaks at Vienna Woods (2021),2021,2021-07-03,Vienna,3,Meters
LRR@VR2021,VR2021,LRR2021,193.0,227.0,Little Rocky Run at Virginia Run (2021),2021,2021-07-03,Northern Virginia,3,Meters
HV@FO2021,FO2021,HV2021,240.0,170.0,Hunt Valley at Fair Oaks (2021),2021,2021-07-10,Fairfax,3,Meters
HPP@LRR2021,LRR2021,HPP2021,211.0,209.0,High Point Pool at Little Rocky Run (2021),2021,2021-07-10,Northern Virginia,3,Meters
VR@VW2021,VW2021,VR2021,241.0,178.0,Virginia Run at Vienna Woods (2021),2021,2021-07-10,Vienna,3,Meters
