HS@CB20211,HS@CB2021,1,Boys,8&U,25,Meters,Free,True
HS@CB20213,HS@CB2021,3,Boys,9-10,50,Meters,Free,True
HS@CB20215,HS@CB2021,5,Boys,11-12,50,Meters,Free,True
HS@CB20217,HS@CB2021,7,Boys,13-14,50,Meters,Free,True
HS@CB20219,HS@CB2021,9,Boys,15-18,50,Meters,Free,True
HS@CB202111,HS@CB2021,11,Boys,8&U,25,Meters,Back,True
HS@CB202113,HS@CB2021,13,Boys,9-10,50,Meters,Back,True
HS@CB202115,HS@CB2021,15,Boys,11-12,50,Meters,Back,True
HS@CB202117,HS@CB2021,17,Boys,13-14,50,Meters,Back,True
HS@CB202119,HS@CB2021,19,Boys,15-18,50,Meters,Back,True
HS@CB202121,HS@CB2021,21,Boys,8&U,25,Meters,Breast,True
HS@CB202123,HS@CB2021,23,Boys,9-10,50,Meters,Breast,True
HS@CB202125,HS@CB2021,25,Boys,11-12,50,Meters,Breast,True
HS@CB202127,HS@CB2021,27,Boys,13-14,50,Meters,Breast,True
HS@CB202129,HS@CB2021,29,Boys,15-18,50,Meters,Breast,True
HS@CB202131,HS@CB2021,31,Boys,8&U,25,Meters,Fly,True
HS@CB202133,HS@CB2021,33,Boys,9-10,25,Meters,Fly,True
HS@CB202135,HS@CB2021,35,Boys,11-12,50,Meters,Fly,True
HS@CB202137,HS@CB2021,37,Boys,13-14,50,Meters,Fly,True
HS@CB202139,HS@CB2021,39,Boys,15-18,50,Meters,Fly,True
HS@CB202141,HS@CB2021,41,Boys,8&U,100,Meters,Free,False
HS@CB202151,HS@CB2021,51,Boys,Age,200,Meters,Free,False
HS@CB202143,HS@CB2021,43,Boys,9-10,100,Meters,Medley,False
HS@CB202145,HS@CB2021,45,Boys,11-12,100,Meters,Medley,False
HS@CB202147,HS@CB2021,47,Boys,13-14,100,Meters,Medley,False
HS@CB202149,HS@CB2021,49,Boys,15-18,200,Meters,Medley,False
HS@CB20212,HS@CB2021,2,Girls,8&U,25,Meters,Free,True
HS@CB20214,HS@CB2021,4,Girls,9-10,50,Meters,Free,True
HS@CB20216,HS@CB2021,6,Girls,11-12,50,Meters,Free,True
HS@CB20218,HS@CB2021,8,Girls,13-14,50,Meters,Free,True
HS@CB202110,HS@CB2021,10,Girls,15-18,50,Meters,Free,True
HS@CB202112,HS@CB2021,12,Girls,8&U,25,Meters,Back,True
HS@CB202114,HS@CB2021,14,Girls,9-10,50,Meters,Back,True
HS@CB202116,HS@CB2021,16,Girls,11-12,50,Meters,Back,True
HS@CB202118,HS@CB2021,18,Girls,13-14,50,Meters,Back,True
HS@CB202120,HS@CB2021,20,Girls,15-18,50,Meters,Back,True
HS@CB202122,HS@CB2021,22,Girls,8&U,25,Meters,Breast,True
HS@CB202124,HS@CB2021,24,Girls,9-10,50,Meters,Breast,True
HS@CB202126,HS@CB2021,26,Girls,11-12,50,Meters,Breast,True
HS@CB202128,HS@CB2021,28,Girls,13-14,50,Meters,Breast,True
HS@CB202130,HS@CB2021,30,Girls,15-18,50,Meters,Breast,True
HS@CB202132,HS@CB2021,32,Girls,8&U,25,Meters,Fly,True
HS@CB202134,HS@CB2021,34,Girls,9-10,25,Meters,Fly,True
HS@CB202136,HS@CB2021,36,Girls,11-12,50,Meters,Fly,True
HS@CB202138,HS@CB2021,38,Girls,13-14,50,Meters,Fly,True
HS@CB202140,HS@CB2021,40,Girls,15-18,50,Meters,Fly,True
HS@CB202142,HS@CB2021,42,Girls,8&U,100,Meters,Free,False
HS@CB202152,HS@CB2021,52,Girls,Age,200,Meters,Free,False
HS@CB202144,HS@CB2021,44,Girls,9-10,100,Meters,Medley,False
HS@CB202146,HS@CB2021,46,Girls,11-12,100,Meters,Medley,False
HS@CB202148,HS@CB2021,48,Girls,13-14,100,Meters,Medley,False
HS@CB202150,HS@CB2021,50,Girls,15-18,200,Meters,Medley,False
O@DT20211,O@DT2021,1,Boys,8&U,25,Meters,Free,True
